otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.female	rab.win.male	diff.btw	diff.win	effect	effect.low	effect.high	overlap
Methanobrevibacter_smithii	gender	female-male	0.012073894728671786	0.05027746475944849	0.023971299510321842	0.08686376706778075	2.0107688991609667	-1.8678621350223956	9.531073904052668	2.893525218594645	16.159004955653224	0.21958538931392485	-3.7385713307500392	7.904050697313111	0.369477913970769
Methanosphaera_stadtmanae	gender	female-male	0.08335387359286728	0.18002501993310047	0.17169502251592123	0.3038249368413109	-2.383832239302704	-3.188880036172794	-2.247031269022795	1.262486908262792	6.853768851815902	0.1410232650780046	-4.054000822379301	7.194882540975736	0.39669790451256143
Actinobaculum_sp_oral_taxon_183	gender	female-male	0.6769512287445093	0.7860599183718914	0.5229200528988832	0.6779694242410312	-2.311193983423502	-2.6919181839415494	-2.2432525763290325	0.35462135532934447	8.796059209830295	0.04269053270929338	-4.515002373150516	4.65714118282216	0.4703257479283179
Actinomyces_graevenitzii	gender	female-male	0.10849033674926319	0.21341546037393289	0.2244470702483329	0.384487893433982	-2.2702225263885154	-1.7080993560451319	-2.3378557460085787	-1.0451825730045226	9.973249655831548	-0.11356542338926334	-5.4498749896588725	3.16325804038539	0.42971887669171577
Actinomyces_johnsonii	gender	female-male	0.5573230789906428	0.682014759183458	0.5265960422187095	0.6812795162681494	-2.8078006574933383	-3.0453962675168	-2.7716379092478647	0.10771779710266038	6.086136595593432	0.014032508319346843	-5.850661534922053	4.654618521709049	0.4912985275875365
Actinomyces_massiliensis	gender	female-male	0.2839918730678861	0.4021308025392142	0.3307594670960429	0.474885193220825	-2.7919467343882065	-3.287816138579526	-2.706357071986142	0.5962336938882995	5.030923668465938	0.10500642991397119	-3.4189711831476735	4.696340663018902	0.4437500009461866
Actinomyces_naeslundii	gender	female-male	0.3959321931604629	0.5424194120230045	0.5801875721349998	0.7261072694886326	-2.4488751972697127	-2.504542084219608	-2.4428919281108303	-0.24477983197625441	8.757972584580079	-0.027804245010736917	-5.914223933963517	4.040646558544784	0.4816964288758262
Actinomyces_odontolyticus	gender	female-male	0.06334421293103909	0.15406169106057763	0.015038455655568099	0.06537974023953567	7.235050159531188	8.870209511893634	6.64821109476017	-2.156597883342064	11.316378680601101	-0.2011127779784258	-6.038780033573313	4.093068097682592	0.3690316846179914
Actinomyces_oris	gender	female-male	0.18574108837065736	0.3282742769450962	0.1431743508943787	0.3131710084709927	0.4028761492913766	7.633669561730389	0.10801490414097792	-1.342738138188949	12.378002884786348	-0.1223014487105954	-5.959108025138544	4.127411963386482	0.4227678584568966
Actinomyces_sp_HMSC035G02	gender	female-male	0.3289761563270594	0.48530394623658296	0.48749731176237165	0.6610561875079815	-1.6510109123270578	-1.519604683475496	-1.6658144022480226	-0.5667079252113787	10.420164569123871	-0.05606870684983635	-4.482533981517069	3.2960698773117367	0.46452476632121764
Actinomyces_sp_HPA0247	gender	female-male	0.6809855759959996	0.7897824704154254	0.5554680334351995	0.7028342182782311	-2.3819426629664875	-2.6924017628626764	-2.3274035442597665	0.3220553470739329	7.5114091295911765	0.0383229863729369	-3.995010608944265	4.429105295861776	0.47500000041624574
Actinomyces_sp_ICM47	gender	female-male	0.70091864657451	0.8095963768223259	0.6194215242448871	0.76241151432703	-1.6244588683227512	-1.703930309361354	-1.6179264804457407	0.15573534579798753	9.554564818358298	0.014681991884818484	-4.4913756097616995	4.9526529856230725	0.4919642858477789
Actinomyces_sp_S6_Spd3	gender	female-male	0.24425430817128	0.3707539825070542	0.47190252893819307	0.6223823953848998	-2.917882689459123	-2.785906972523305	-2.939025897510806	-0.3036483688226017	5.949279544185856	-0.040059507178308335	-5.401231855510806	3.5009500392745836	0.46875000052104193
Actinomyces_sp_oral_taxon_180	gender	female-male	0.32160955757260357	0.4482614182500244	0.4884592511900116	0.6331791084346863	-2.8657322391973317	-2.718367077258346	-2.8931650118250865	-0.49491753687749274	5.876434648326532	-0.07226955486175927	-4.571975078540267	3.633135987908217	0.4598214292430596
Actinomyces_sp_oral_taxon_181	gender	female-male	0.22383939593949945	0.36345004144045917	0.483873244742843	0.6485204514989164	-2.6774334950872642	-2.563948370697929	-2.6896088793239734	-0.3998855224018474	7.7381042572632595	-0.05469825955161114	-6.584779985853285	4.015849486981614	0.46785714339319323
Actinomyces_sp_oral_taxon_414	gender	female-male	0.1704580210899543	0.29368072849523263	0.40359389302556126	0.5623917212205488	-2.808241388265685	-2.6097574542004356	-2.832175190360445	-0.5212669761844495	6.476866452517353	-0.07048009252963075	-5.892309280516361	3.332396484884177	0.4598214292430596
Actinomyces_sp_oral_taxon_448	gender	female-male	0.5852956152586065	0.7051655709701006	0.587728298015195	0.7305258023307318	-2.4464135881765223	-2.4553364668530087	-2.4435923101290413	-0.056855210566084224	8.310280748202484	-0.007116726110502316	-5.109990248422343	4.666866958625048	0.4946428572318395
Actinomyces_turicensis	gender	female-male	0.6523211448645881	0.7661486106969195	0.5967277250944353	0.7450696377311893	-2.3306961129757493	-2.4954197633596635	-2.3065924249734326	0.04950229444530585	9.239553537999463	0.00502568316708344	-4.986372826812108	4.702715882820012	0.4968750000519026
Actinomyces_viscosus	gender	female-male	0.5789874499656017	0.6996324896396525	0.493893641455762	0.6519634890113684	-2.9042872760560563	-3.1509336176463236	-2.868666570227699	0.14481359709220776	5.180813039025464	0.024429605249769323	-4.206341642851734	4.221958178732591	0.48660714307973385
Alloscardovia_omnicolens	gender	female-male	0.2776491690241096	0.39410422649141663	0.3755384269723227	0.5220560678615644	-2.9404874853361456	-3.3348631012371897	-2.8827632466522957	0.6085134261414513	4.797947130809499	0.1049454809157672	-3.5072787816927353	4.975460524728924	0.4395359224818258
