otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.bellvitge	rab.win.clinic	diff.btw	diff.win	effect	effect.low	effect.high	overlap	rab.win.hgtp	rab.win.mataro	rab.win.sant_pau	rab.win.vall_hebron
Methanobrevibacter_smithii	center	bellvitge-clinic	0.8345497962933361	0.9643783471842147	0.7811125413236145	0.9519716389045699	8.089607413831072	9.417137687937217	2.0572808462731427	0.15194712184377313	15.412688619004761	0.009946150530024876	-5.246321059795271	5.256960433981184	0.4924961715747525	NA	NA	NA	NA
Methanosphaera_stadtmanae	center	bellvitge-clinic	0.6552369532304629	0.9087893669975966	0.5414708361990895	0.8644826992576387	-2.156670807458573	-2.2946102825466674	-2.097849716783264	0.30142096610707547	9.706498319301847	0.028353432086407917	-5.115383781051537	5.60042416560441	0.47763480409685977	NA	NA	NA	NA
Actinobaculum_sp_oral_taxon_183	center	bellvitge-clinic	0.6555905515831368	0.9117991448136809	0.557382768965204	0.872542021034423	-2.3002413153876553	-2.4329528777783604	-2.2483973446806953	0.1591448411031493	7.971422802947351	0.01989917729375937	-4.803754856477354	4.7244235680545525	0.48575803992765554	NA	NA	NA	NA
Actinomyces_graevenitzii	center	bellvitge-clinic	0.42766300509838806	0.8156255373498683	0.336763201486318	0.7516582444078455	-2.261765335322231	-2.6913678279014857	-2.0616831975050456	0.6978611467827722	7.8142289606958535	0.07736834130209624	-4.463964756004259	5.246801192662154	0.4486983158723785	NA	NA	NA	NA
Actinomyces_johnsonii	center	bellvitge-clinic	0.5782686234605562	0.8789600245648633	0.444821425521795	0.8090317677214799	-2.6398324894211473	-2.8519472744436136	-2.559065704408834	0.33327538497239395	5.488554922949831	0.047023714414940264	-5.0807308198712855	4.800612336372745	0.4696691178851839	NA	NA	NA	NA
Actinomyces_massiliensis	center	bellvitge-clinic	0.5563460561672795	0.8642465878630065	0.5475514041840495	0.866325823952566	-2.711113477270013	-2.686641407954202	-2.7244837316771484	-0.09060435934566513	5.589815552117997	-0.014312854968164375	-4.366942683333673	4.087083356529673	0.49050245105470885	NA	NA	NA	NA
Actinomyces_naeslundii	center	bellvitge-clinic	0.17818271720409234	0.5966052522322582	0.2366502641238479	0.6596585307989565	-2.4118431106737166	-2.8814470668499723	-2.176455354574175	0.8254323451477266	6.5623908453624455	0.10828731756431081	-3.9856695422417765	5.630245518715234	0.42909647836043646	NA	NA	NA	NA
Actinomyces_odontolyticus	center	bellvitge-clinic	0.7435274135286447	0.9435256724543724	0.714495644028985	0.9396447438169372	6.389453501540866	6.503908326410043	6.3274556575764835	0.2827389066124706	11.395140350905184	0.024677880379515717	-4.5481527546848115	4.8679092040399246	0.4836140889490568	NA	NA	NA	NA
Actinomyces_oris	center	bellvitge-clinic	0.44146734666674736	0.8441387701227896	0.3701378167796541	0.7999887410178758	0.15186557939945544	-0.6475992777857407	0.7098975420206148	0.8285477759625657	11.713509834396202	0.07153958143848795	-3.868466774343303	5.002151475677843	0.4523736604063424	NA	NA	NA	NA
Actinomyces_sp_HMSC035G02	center	bellvitge-clinic	0.5743598304511722	0.882207915393213	0.5031181058039567	0.8509164276354473	-1.6327400240771084	-1.9865207919596983	-1.4733662220576331	0.5082241187738585	9.302105353842592	0.05244476828201532	-4.03938949689212	4.5926468932121605	0.46599264732606627	NA	NA	NA	NA
Actinomyces_sp_HPA0247	center	bellvitge-clinic	0.363936970463609	0.7628889673492634	0.41562431969592506	0.7998420077458012	-2.2747593385949063	-2.46874687320415	-2.1621417251671975	0.45248871936899526	7.3630875330270396	0.05970074033697288	-3.921209019187306	5.318064641226515	0.46768759596575044	NA	NA	NA	NA
