otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.DTG	rab.win.RTVr	diff.btw	diff.win	effect	effect.low	effect.high	overlap
Methanobrevibacter_smithii	group	DTG-RTVr	0.5015425049583135	0.7297640828316361	0.7098487675383045	0.8569765540019983	2.063455128359017	9.538597291252465	0.5930677268295756	-0.35891127986036153	16.258601473137638	-0.023808893486925074	-5.621494357914438	5.154748883060505	0.4832000000560629
Methanosphaera_stadtmanae	group	DTG-RTVr	0.3517146853094574	0.598193757167351	0.38401381503128534	0.6114056068465055	-2.3960530724867457	-2.5662643073226175	-2.1931478838591723	0.5305381816227097	9.040623828967934	0.051684634715351514	-5.0122860401313964	6.3124517960015485	0.4618000001280808
Actinobaculum_sp_oral_taxon_183	group	DTG-RTVr	0.2167127806389602	0.4501994375241431	0.42591670092642736	0.6382031978372342	-2.334677915203878	-2.2472122524393487	-2.437603913146093	-0.31739919265848116	8.603213501774107	-0.03372326317717709	-5.507000961523141	4.47650238819153	0.47580000008085593
Actinomyces_graevenitzii	group	DTG-RTVr	0.46510379574212257	0.6775799397934151	0.38683625780018993	0.6057138945706955	-2.2873852818157836	-2.45615537121269	-2.0660805691986344	0.45705922784337716	8.426160125831458	0.05226449118287782	-4.48595695196841	4.5744459153215145	0.46680000011115697
Actinomyces_johnsonii	group	DTG-RTVr	0.25152527874965996	0.472954051692118	0.23552867594820287	0.4374999583740212	-2.749054394217806	-2.990904345899345	-2.4617420661200526	0.6019568640683612	5.693290053042651	0.08591501700398524	-4.18574428836801	5.451179439681138	0.4474000001772956
Actinomyces_massiliensis	group	DTG-RTVr	0.5251906903345799	0.7162253433074138	0.42453151477297096	0.6331265240556173	-2.7524705849858844	-2.892022567650642	-2.596623990317509	0.3726010999454328	5.277805559727762	0.05563867549461697	-4.21981953560243	4.830098564137893	0.4676000001084558
Actinomyces_naeslundii	group	DTG-RTVr	0.5687582541982493	0.7534250359233563	0.6216810058578279	0.7916711444736683	-2.43993370814902	-2.457717666829687	-2.422293349228262	0.050776430778547876	7.751553544745057	0.005776652923878705	-5.06760785480387	4.5766892884983825	0.4962000000126673
Actinomyces_odontolyticus	group	DTG-RTVr	0.4411613846249184	0.6799963294515325	0.7102527036384666	0.8613377452354658	7.236765995664222	7.462403361455863	6.664161776270569	-0.14707524321701548	11.264002117264369	-0.016099100865813704	-4.930517569377134	4.510780751605429	0.49010197963707225
Actinomyces_oris	group	DTG-RTVr	0.7037152437144436	0.853403705047334	0.7368684396276345	0.8710335177536115	0.4385872437528935	0.8000089037063631	0.2508507184921651	-0.18132963908021438	12.10242364846317	-0.01563252789061869	-4.759337277027454	4.043099918102656	0.4893021396077468
Actinomyces_sp_HMSC035G02	group	DTG-RTVr	0.7270536987191576	0.8625538149479284	0.6402133405049119	0.8103897103844321	-1.619208243120843	-1.6657860303305547	-1.5695848331869744	0.0815332353692213	9.658013177976756	0.0072373802050176945	-4.221784751070335	4.46687414555016	0.4962000000126673
Actinomyces_sp_HPA0247	group	DTG-RTVr	0.5830247388825792	0.7711494051914124	0.5196602580817622	0.7204082573725799	-2.41223689989088	-2.526072293213426	-2.2942533310100917	0.2955472052849597	7.4621612647053315	0.03695545588778089	-4.511015982395664	4.695076779990313	0.47570485910933746
Actinomyces_sp_ICM47	group	DTG-RTVr	0.7267223908659777	0.8640242073139022	0.671767710624009	0.8264099116087713	-1.6522992534311154	-1.7708043557301938	-1.5262243759096688	0.09368828677086327	9.97402097409878	0.00862563445949969	-3.77540900547825	4.236752625619213	0.49420000001933606
Actinomyces_sp_S6_Spd3	group	DTG-RTVr	0.3163858760347556	0.5168415780179542	0.27437303600200086	0.48214402397938916	-2.909272297030066	-3.1301245440026975	-2.649806082874049	0.40412768235535523	4.952713167708339	0.06903939792606445	-3.802300506739986	4.704174362443325	0.4599080185307716
Actinomyces_sp_oral_taxon_180	group	DTG-RTVr	0.5797763981135916	0.7587281638737059	0.4554228601579496	0.6622972987262394	-2.8325843182096424	-2.9789425219932966	-2.67638905647949	0.24433515386288285	5.061995966846765	0.039734041185796605	-4.180356036581309	4.158861690800878	0.4767046591459754
