otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.<50	rab.win.>50	diff.btw	diff.win	effect	effect.low	effect.high	overlap
Methanobrevibacter_smithii	CD8diff_48	<50->50	0.8085134173556998	0.9487543695143231	0.7289320613724606	0.9295667540843014	0.8777973347314063	0.6137858452861646	0.975852971241272	0.2382494367030148	16.316745121736638	0.015572042900637389	-5.37424239976467	5.90561611824629	0.48947249268705156
Methanosphaera_stadtmanae	CD8diff_48	<50->50	0.369823229968697	0.7311621277869312	0.3993679608961139	0.7651203000544582	-2.392881622574187	-2.6651557063036453	-2.2388559399479426	0.5030569887758425	8.446417137785714	0.054664597513712374	-4.933128781482055	5.84692132000543	0.45732397573263694
Actinobaculum_sp_oral_taxon_183	CD8diff_48	<50->50	0.7083172660679169	0.9032497857442029	0.5850141223554007	0.8730118981058356	-2.3498178744315563	-2.4262338883968084	-2.3110612113324134	-0.01684191576377536	8.583835416544975	-0.0016700158420936795	-4.90794914033555	4.663403671639846	0.498414855079238
Actinomyces_graevenitzii	CD8diff_48	<50->50	0.30145378941795725	0.6660093765208364	0.42309367097182177	0.7853579688969761	-2.3526659421555483	-2.201318542003948	-2.419307804002642	-0.5035215884699795	8.360215930939134	-0.05915866379364997	-4.971169725400286	4.029559034914188	0.4649003624695732
Actinomyces_johnsonii	CD8diff_48	<50->50	0.6533773520639383	0.8791758337088795	0.5618473853539518	0.8505762475281913	-2.7705127091860806	-2.9359119343363584	-2.686431160731983	0.1441498095747793	5.752060875810493	0.02129115805679089	-4.24491487310496	4.891077624689015	0.48517093055920746
Actinomyces_massiliensis	CD8diff_48	<50->50	0.5711457723284956	0.8323023874136302	0.5632124530257564	0.8516672517903853	-2.8080218130064143	-2.8547810666776066	-2.791038399670013	0.021942784338586208	5.573620477086811	0.0030342214353823874	-4.314055762197736	4.228347185022809	0.498188405804843
Actinomyces_naeslundii	CD8diff_48	<50->50	0.6335173687690008	0.8731399572277326	0.4993161508221005	0.819895266343636	-2.474355082964818	-2.6747479764582813	-2.364467943757912	0.3536064620854873	7.454856307255477	0.044773564398660384	-4.738165789760126	4.946648605524994	0.46954946809523057
Actinomyces_odontolyticus	CD8diff_48	<50->50	0.02579480677220741	0.2888674179463738	0.04544153862586497	0.4781453118210097	7.491083213919161	8.24864399507509	5.460982340276933	-1.2996817056750833	11.037740621289014	-0.12762962017723747	-6.061578950661209	3.6840711351925104	0.40783514533523474
Actinomyces_oris	CD8diff_48	<50->50	0.45760524119738516	0.7959117386245984	0.5614534858120436	0.8682574664254746	-0.14207568052948005	0.4626114425391439	-0.32489547136259844	-0.4021101804502374	12.171924502910866	-0.03600298963234874	-5.5238346135966285	4.495127815193028	0.4736246322162096
Actinomyces_sp_HMSC035G02	CD8diff_48	<50->50	0.04543291604190009	0.3410380206182577	0.07595145031404481	0.48163701565229544	-1.6344023459931663	-0.9153546957744076	-1.916848386567672	-1.5395751827656259	9.578274816802782	-0.16713115446549337	-5.201894340915625	3.2275644856644763	0.41304347864404867
Actinomyces_sp_HPA0247	CD8diff_48	<50->50	0.6044635994866844	0.8544465915196063	0.502626596780948	0.826740626363964	-2.299303811457259	-2.4155590925026953	-2.253878745050949	0.2134628143470625	7.804101926934199	0.025003506595185562	-4.326044970034545	4.89443237990527	0.4858501245793916
Actinomyces_sp_ICM47	CD8diff_48	<50->50	0.006798133476486739	0.15993821747032724	0.01677976037948488	0.31501239543145987	-1.7030496959002193	-0.28989039296490304	-2.128036798193948	-2.148999458491006	10.116025081149527	-0.23881233013286735	-5.69471376712669	3.195375166667538	0.38201992807011814
Actinomyces_sp_S6_Spd3	CD8diff_48	<50->50	0.5740423855069671	0.8332909863560876	0.5144222091772742	0.8226961197629493	-2.8976438017123005	-3.0322545806453522	-2.8322570349242415	0.23106516773420438	4.920299848182404	0.037638268443948804	-4.070762751612241	4.348816584000647	0.4784873189326799
Actinomyces_sp_oral_taxon_180	CD8diff_48	<50->50	0.4489871919418633	0.7455146535779407	0.5232065439065431	0.8326464554937147	-2.856465586445582	-2.772627865995135	-2.893995719599266	-0.16764393474268324	5.284176094066105	-0.02915277297366155	-4.747532537829337	3.6465271385728926	0.4833597465053864
Actinomyces_sp_oral_taxon_181	CD8diff_48	<50->50	0.1890806388574132	0.5446554577692718	0.2599529849683982	0.641106743147876	-2.734738002710788	-3.1116342737845883	-2.5518977593379812	0.7255923806576856	5.889440873899229	0.1008751222712966	-3.6642211514323892	5.446487126068763	0.43943853320344045
Actinomyces_sp_oral_taxon_414	CD8diff_48	<50->50	0.37512397116370505	0.7215635809076136	0.5255529371568454	0.8428943237602156	-2.818260350376166	-2.849515924179631	-2.804499296990766	-0.18458500714646142	5.900403929140328	-0.02615622620584318	-4.883111749448476	3.9357647067157013	0.485054347890011
