otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.asian	rab.win.black	diff.btw	diff.win	effect	effect.low	effect.high	overlap	rab.win.caucassian	rab.win.hispanic	rab.win.other
Methanobrevibacter_smithii	ethnic_group	asian-black	0.8086430587233974	0.9443538580669607	0.7700572453861928	0.9663323538248227	-2.1417458119490185	4.526640279543047	-2.471062659898326	0.5950262246782998	15.68138117139329	0.031136521056619258	-6.65573961826742	11.042307469000784	0.47656252986778985	NA	NA	NA
Methanosphaera_stadtmanae	ethnic_group	asian-black	0.2457427553252331	0.6116257773188487	0.5863593643198907	0.8971087201812603	-3.478118135876464	-3.7286631528590295	-3.4221166480337306	1.2151228681586446	6.496518535035586	0.12099885599025875	-3.0743030231235564	11.530037356978886	0.40077834043500143	NA	NA	NA
Actinobaculum_sp_oral_taxon_183	ethnic_group	asian-black	0.06823065781181595	0.38426931467432063	0.37096825871496925	0.8312779600866359	-1.9965879121052765	-3.291488873146239	-1.3231246439745714	5.387403184392411	7.3623215824057935	0.606721661409076	-3.6336831885325593	8.692908401126628	0.3281252478337736	NA	NA	NA
Actinomyces_graevenitzii	ethnic_group	asian-black	0.2889561949599733	0.69600464115835	0.19830613465481886	0.7239827171907854	-2.6500472134195068	4.9601280898318345	-3.0841415282927223	-5.063848241677343	10.723073425007843	-0.5749419060308096	-13.920326188338846	2.3295187335851595	0.2617191420193199	NA	NA	NA
Actinomyces_johnsonii	ethnic_group	asian-black	0.614703579333231	0.8625655054713545	0.5994926948051948	0.9232104737780215	-3.798466326955978	-3.3753466870368545	-3.9374870478335033	-0.5211905441812217	5.11789277413977	-0.05569665588536155	-4.346411646539809	5.500975209361647	0.47470820319835	NA	NA	NA
Actinomyces_massiliensis	ethnic_group	asian-black	0.43484503479807296	0.7606880839670223	0.5140731801093643	0.8889113305658759	-3.5912109135931587	-3.940406487759775	-3.4796969877084045	0.9049979180142316	6.206644129705381	0.10522656669741534	-2.6347814998644443	6.066281320899703	0.4453125703803206	NA	NA	NA
Actinomyces_naeslundii	ethnic_group	asian-black	0.765184269375955	0.9275213032941619	0.6653911056049214	0.9462478921662754	-2.6226189518178504	-2.4781128975914353	-2.650079986191848	-0.019015394893903803	10.527183091263145	-0.001099718531948938	-3.794212681998046	4.4046189909623115	0.5	NA	NA	NA
Actinomyces_odontolyticus	ethnic_group	asian-black	0.36419846201027406	0.7738381552640605	0.3408663704716336	0.8719492832928388	8.09369231912325	4.316826965981882	8.391904972467906	2.786726244532151	10.431037570520306	0.3302635159230477	-2.7490487627745477	7.841074153559144	0.3242190050373642	NA	NA	NA
Actinomyces_oris	ethnic_group	asian-black	0.5125923555938173	0.8309938564518847	0.5084372863978127	0.9238852883271654	7.707891730947588	9.122795180884593	6.5097726703922545	-1.3707507045765377	11.445786763002694	-0.1314983905590335	-7.292198902585948	4.172251001185609	0.3750001695410216	NA	NA	NA
Actinomyces_sp_HMSC035G02	ethnic_group	asian-black	0.6134531139355379	0.8780263839028309	0.5014920112781955	0.9066256220840506	-0.8666903712356753	4.040682306948814	-1.2763362117530797	-1.7143042328857483	10.539840557919824	-0.1686975372557329	-6.801030297979347	5.850958917762156	0.3774320711435186	NA	NA	NA
Actinomyces_sp_HPA0247	ethnic_group	asian-black	0.42167476986549696	0.75732492460518	0.35754229323308273	0.7908257916755038	-3.7569305397487636	-2.128220444539725	-4.020978299258058	-2.2830735091701495	7.5760596898019905	-0.30379522352274024	-5.603269169564328	3.0892374847389794	0.31906641053770396	NA	NA	NA
Actinomyces_sp_ICM47	ethnic_group	asian-black	0.8412735619628182	0.9538452934028103	0.8382582877648668	0.9783464400925522	5.027336103354912	3.7482279996738974	5.027336103354912	-0.17748731346676028	11.413481538613645	-0.016787755619192657	-4.222378060405898	3.717719900290846	0.48828126490927126	NA	NA	NA
Actinomyces_sp_S6_Spd3	ethnic_group	asian-black	0.39225498034384304	0.7347714716082709	0.3733894395078606	0.8113046056134927	-3.3973380468220924	-1.8522372022902491	-3.6849307356023857	-1.7008709706348881	6.518151266656103	-0.3049345698494138	-5.495495174738611	2.4793791342897333	0.30078155112134636	NA	NA	NA
Actinomyces_sp_oral_taxon_414	ethnic_group	asian-black	0.5746274496156979	0.8523887875006877	0.5175452836637048	0.8896619955378887	-3.537743460252514	-2.744628940328923	-3.6995599644754122	-1.5616181975568448	9.665886787058351	-0.17171760161113914	-5.035134470769306	2.9055927244040216	0.3906251460661487	NA	NA	NA
Actinomyces_sp_oral_taxon_448	ethnic_group	asian-black	0.628584286601444	0.877994632052299	0.5519630041011621	0.9073779602313657	-3.4167209100834164	-2.391530050913291	-3.6023306182534256	-0.9420462602633606	9.366142611258352	-0.10920972085818441	-8.21785976382022	5.419109428614158	0.4101563680532232	NA	NA	NA
Actinomyces_turicensis	ethnic_group	asian-black	0.5003700204117649	0.7966131159755134	0.5947048017771702	0.9123694463635172	-3.368570735834595	-3.3239424500968937	-3.374341606179076	0.17486588068706865	5.354027873768789	0.033024593148669776	-4.743507925112605	4.92475123352718	0.4902723858186831	NA	NA	NA
Bifidobacterium_adolescentis	ethnic_group	asian-black	0.7924125340194359	0.9384480557673818	0.8381621667805879	0.978392948202822	12.783029886258415	6.934631062002927	12.809554973032238	0.8228641775961023	18.83742175153612	0.04843328238861705	-5.100697228687044	7.133440664007608	0.4785992488404336	NA	NA	NA
Bifidobacterium_bifidum	ethnic_group	asian-black	0.06677973657801449	0.3661360742390371	0.41752926349965824	0.83262700808762935	-2.522903072692964	-3.582842432038319	-2.1766177708593766	2.731174688125165	8.723718382863222	0.3198917742165136	-2.1085323098889557	14.740111828995078	0.35156270698974057	NA	NA	NA
Bifidobacterium_breve	ethnic_group	asian-black	0.5427612289930986	0.8244280449057919	0.5602774692412851	0.9068037837027701	-3.744202836474269	-3.562621749728631	-3.80918087484795	0.05074580780205551	5.164757725876843	0.00592702158641538	-3.6666771704214844	5.4439497821551726	0.4960937549673302	NA	NA	NA
Bifidobacterium_catenulatum	ethnic_group	asian-black	0.6015758226563763	0.8725375725357731	0.5191804084073821	0.8944233975961811	-3.1900163299290654	-2.4067721804083835	-3.354416915640698	-1.2506229805511895	13.153046073534735	-0.10736045619362747	-9.008533734877293	4.714698133294301	0.4062501235522202	NA	NA	NA
Bifidobacterium_dentium	ethnic_group	asian-black	0.4678300244729867	0.7833401336306468	0.5943459501025291	0.919790229336349	-3.5302959058545813	-3.3766610739363685	-3.5537821459895618	0.08770994684657474	5.700262101010246	0.01033131658932794	-3.435183741933018	5.969750932266255	0.49805447716284423	NA	NA	NA
Bifidobacterium_longum	ethnic_group	asian-black	0.001246724931194863	0.03322860217045971	0.00981502050580998	0.2695040203741823	12.385824856599896	16.20809641454725	11.310102164229466	-5.3993596758205245	5.950763871398376	-0.9224337394144818	-17.646249947146032	0.248948990286787	0.10116869854509762	NA	NA	NA
