otu	cat_var	comparison	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.high	rab.win.low	diff.btw	diff.win	effect	effect.low	effect.high	overlap	rab.win.mid
Methanobrevibacter_smithii	CD8after_48	high-low	0.02054297136807264	0.07394054748275809	0.1051662558992327	0.3003700425117765	0.06544725082739511	0.25042771795784624	-3.9930499249696787	-8.411585322335501	10.56855222879756	-0.8406907494851109	-9.693242152378023	1.2575867947606796	0.20312603648703628	NA
Methanosphaera_stadtmanae	CD8after_48	high-low	0.14445312157476015	0.30209501495333985	0.35043711658931787	0.5324497251839486	-2.3064569618314934	-2.2631341502931406	-3.782418432668127	-1.8648947580977513	5.738428961456977	-0.2964013990958472	-6.82732594126816	2.08847624703089	0.33160664253884775	NA
Actinobaculum_sp_oral_taxon_183	CD8after_48	high-low	0.19934534659636582	0.37453868789233447	0.35597391616944923	0.5384953366083437	-2.274910843557725	-2.2420995723679535	-3.8154792398720225	-2.1260840799499956	5.495212706171683	-0.2759875617334019	-7.357845469765286	2.3220462137783855	0.3072921782887413	NA
Actinomyces_graevenitzii	CD8after_48	high-low	7.87432520563266e-9	2.3087722863027165e-7	0.005796937336468206	0.15573787453559298	-2.357249587281453	-2.414867579467039	9.73494164469531	12.378719381540966	3.7193161619399078	2.8269867455461264	0.04758274885213653	30.08674467917468	0.0259172268997107	NA
Actinomyces_johnsonii	CD8after_48	high-low	0.592564244547714	0.7274741163700611	0.6036255564049051	0.7361661960473017	-2.7507398412331696	-2.761559574136326	-2.281619703477526	0.9669167325348855	9.92292138400117	0.1512796931033037	-3.103970296013547	5.792444339300781	0.4166668604270799	NA
Actinomyces_massiliensis	CD8after_48	high-low	0.6207869649952543	0.7452879502111239	0.5845639004320419	0.7270335800635935	-2.656795419043757	-2.660465585314384	-2.3770231776421227	0.723836973293766	7.030797086242439	0.1167990349846048	-4.896072827254935	4.205080723238568	0.45595864852165235	NA
Actinomyces_naeslundii	CD8after_48	high-low	0.2132632112106269	0.3818692818130963	0.34771497073137025	0.5228578578164091	-2.4175625149245406	-2.3803505125847995	-4.316263251480953	-2.209479876213525	5.458823920358043	-0.31828282628740284	-7.171356711212821	2.6266048424017017	0.3264253119926425	NA
Actinomyces_odontolyticus	CD8after_48	high-low	0.005281380388056238	0.03003785853954126	0.05987771063271294	0.25052916448916623	7.389774777804188	7.23669771626354	9.618328173621114	3.8586138333324067	5.625972582082621	0.8439887152146595	-0.8080075950998055	15.968408345887063	0.1709857541070528	NA
Actinomyces_oris	CD8after_48	high-low	0.012356426223665277	0.058992328039807924	0.06431414749495137	0.25417174946211835	0.03384388825352147	-0.12221035747952236	9.306965418813508	9.723596189339641	6.924162799449789	0.9252763037004653	-0.813108875700082	25.637742888586978	0.1709857541070528	NA
Actinomyces_sp_HMSC035G02	CD8after_48	high-low	0.003067880525656522	0.01970079026092648	0.009066815883088018	0.1632968075541487	-1.6699132089081452	-1.7365805110978663	9.46049762234221	10.624104896616377	5.427168642425668	1.4569069720422925	-0.3078565204021788	28.574580227061446	0.056999427184058336	NA
Actinomyces_sp_HPA0247	CD8after_48	high-low	0.19558966349216586	0.3793052096883387	0.3165422733235297	0.5043670506263049	-2.3153725817121504	-2.2710706806962957	-4.087981357646759	-1.8731823547113322	5.652771489199514	-0.278225863730613	-6.935578853134585	2.422431719521841	0.3593753451929687	NA
Actinomyces_sp_ICM47	CD8after_48	high-low	0.4637396477080078	0.6393092999549558	0.5130012647071027	0.6844054291529756	-1.6814059446348963	-1.7190597054904782	6.442552193759684	5.740283185651783	9.941340162691287	0.4759543835664153	-2.7524934961674794	11.574113713024593	0.3750003014047682	NA
Actinomyces_sp_S6_Spd3	CD8after_48	high-low	0.22431816782781996	0.4401595257923718	0.10660840015649398	0.29807188208465485	-2.904482086437895	-2.940380215477994	7.106837117638706	9.235866728529004	7.830291372452775	0.9843442166551599	-2.042267867634239	15.628827299192176	0.19270944958575004	NA
Actinomyces_sp_oral_taxon_180	CD8after_48	high-low	0.2679722996942425	0.47790758258596033	0.13420682438683576	0.3337687966678329	-2.782792264719177	-2.8186491909821765	6.0318862259708474	7.845179953328374	7.00358242365952	0.896181623603113	-2.528965632364372	9.97909206553333	0.22798013900535738	NA
