Species	comp1	comp2	comp3
Methanobrevibacter	-0.05148469307826072	-0.2880634293861352	-0.09859418503453378
Actinomyces	0.14721118027161637	-0.047499883365721196	-0.18392880432341704
Bifidobacterium	0.23489123255822758	0.38661888881500456	1.1404889162641894e-4
Olsenella	0.05500751497803731	0.14991365943351215	-0.027550704398931484
Collinsella	-0.0911090916971513	0.1380087626838873	-0.1680510033445383
Enorma	0.08644998014264743	0.11303964797641644	-0.21136825936898487
Eggerthella	0.2937376878053896	0.0636432063219626	0.09397777273227281
Gordonibacter	0.3777950091703516	0.09912669713960386	0.03266430577288344
Slackia	-0.1913724528245308	0.00289692371175222	-0.06705026295882577
Bacteroides	0.1849885952434792	-0.12813747416686214	-0.07182252749897655
Odoribacter	0.0956118210025337	-0.010827329315080809	-0.19223041065106108
Prevotella	-0.25823702272245225	-0.06691092974927364	0.2609780179556595
Alistipes	0.2554364468245605	0.2585142794824324	-0.028547101046741356
Parabacteroides	0.11580679827132061	-0.24006606993130775	0.01555456216242413
Lactobacillus	0.030754946622881113	0.01210586330772935	0.09971704096822773
Streptococcus	0.19744765853554963	0.05901025410058078	0.14015026713975298
Clostridium	-0.04888429184259528	0.03529405914304314	0.034873045854076024
Lawsonibacter	0.08131101310960896	-0.15177377196465283	-0.4417806576024278
Eubacterium	-0.1108707742368501	0.10778861251370167	-0.15289706019990623
Anaerostipes	0.07024520813941124	0.018803549021518054	-0.08094584482604568
Blautia	0.08438164512118163	-0.13979023871238025	0.01716039997686427
Coprococcus	-0.08766010901428038	0.2103026032320295	-0.06250818776627891
Dorea	-0.2313751804636114	0.10225474838235285	-0.10057188315047534
Fusicatenibacter	-0.08024745292624443	-0.13386996534690837	-0.36039127901161694
Lachnoclostridium	0.15665987872335269	-0.09898982236568664	0.061393748659531844
Lachnospiraceae_unclassified	-0.07526974579826155	0.15623805288687134	0.04746607853140341
Lachnospira	-0.1092242548428291	-0.029566790289499777	-0.2231146975419535
Roseburia	-0.13241363648322463	0.0530642671296533	-0.130012122359014
Oscillibacter	-0.03638367671132848	0.08877165576510604	-0.10687969880728997
Intestinibacter	0.01140199164597894	-0.06216818413754023	-0.11271159590308791
Agathobaculum	-0.04484546753960067	0.27417744941781813	-0.011934949385998138
Faecalibacterium	-0.1469039882346249	0.21390887273981746	-0.12114094604129771
Flavonifractor	0.17113101097356181	-0.17060442084280447	-0.06268263612469545
Gemmiger	0.20105723299224812	0.19660156545910928	0.07012975718582466
Ruminococcaceae_unclassified	-0.02609836775550416	0.01487446768107935	-0.012903431569312986
Ruminococcus	0.09390368777968529	0.21096464563643474	-0.296507991319955
Ruthenibacterium	0.07439020267004794	-0.18263679314420622	0.10799442519123938
Catenibacterium	-0.19683750644505632	0.07454457703524754	0.07896507122267768
Erysipelatoclostridium	0.10992609191900597	-0.23927229225131172	0.07823294200515338
Holdemanella	-0.1859183079753088	0.13778969417449513	0.13567210733072943
Firmicutes_unclassified	-0.037748027277565495	0.1344731892640582	0.2011972247626663
Phascolarctobacterium	-0.19998533516651976	-0.005825036955989063	0.1070098773080375
Bilophila	0.043359124636829616	-0.056434962649086186	0.0984929119868492
Escherichia	0.09094456488960444	0.009535151715051152	0.21062247680642146
