rowname	overall.max.dist	overall.centroids.dist	overall.mahalanobis.dist	BER.max.dist	BER.centroids.dist	BER.mahalanobis.dist
comp1	0.5678966789667896	0.7501845018450185	0.7501845018450185	0.8198856209150327	0.8213641422752676	0.8213641422752676
comp2	0.5586715867158671	0.7719557195571956	0.7767527675276753	0.8115277777777777	0.8418294733352278	0.8394037131760916
comp3	0.566420664206642	0.7653136531365314	0.7701107011070111	0.8136928104575163	0.8150359950743582	0.8073708203087998
comp4	0.5656826568265683	0.733210332103321	0.7638376383763837	0.8075458226768968	0.7762711944681254	0.7775599128540305
comp5	0.5682656826568265	0.7284132841328413	0.7756457564575645	0.8081642512077294	0.7679530169555745	0.7625114852704367
comp6	0.5756457564575646	0.7110701107011069	0.77380073800738	0.8088089656152316	0.7530087856398597	0.7337876527422563
comp7	0.5859778597785978	0.707380073800738	0.7619926199261993	0.8090057544757033	0.7499589135170976	0.7341298427583594
comp8	0.592619926199262	0.7029520295202952	0.766420664206642	0.8101903949985791	0.7459771952259164	0.7389426446907266
comp9	0.5907749077490775	0.7051660516605166	0.7575645756457565	0.8055498721227621	0.7459979160746424	0.7164049919484703
comp10	0.5988929889298893	0.6933579335793358	0.7538745387453875	0.8077421379179691	0.7342078715544188	0.7065959789712987
comp11	0.5992619926199262	0.7022140221402214	0.759409594095941	0.8050183527517287	0.7358571327081558	0.7015717059770769
comp12	0.5955719557195572	0.7022140221402214	0.7701107011070111	0.8078513071895425	0.7446195652173913	0.7171426541631145
comp13	0.6	0.6948339483394834	0.7583025830258303	0.8063316993464053	0.7417481292033722	0.7090519323671498
comp14	0.5955719557195572	0.7029520295202952	0.7531365313653137	0.8039592213697073	0.7435938240030312	0.71021549682675
comp15	0.6077490774907749	0.6966789667896679	0.7649446494464945	0.8057343468788482	0.7386498294970162	0.7246383915885195
