taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Actinomyces;16;FALSE;FALSE;FALSE;FALSE;0.20753505701481312;0.05202215949534736;1.3777753128453176e-27;-0.3967017639885119;No;-1.6050549967364063;21.7;female_male;gender
Bifidobacterium;18;FALSE;FALSE;FALSE;FALSE;0.2991237651392395;0.029780760298164573;8.699260044747967e-39;-0.5963096960824068;No;-1.6050549967364063;21.7;female_male;gender
Collinsella;14;FALSE;FALSE;FALSE;FALSE;0.3699648355708131;0.28906433580112256;1.2043659919086835e-17;0.6482979851039126;No;-1.6050549967364063;21.7;female_male;gender
Enorma;10;FALSE;FALSE;FALSE;FALSE;0.2408050852311901;0.09906283696527513;5.072395511739809e-19;-0.8109328186244245;No;-1.6050549967364063;21.7;female_male;gender
Slackia;27;FALSE;TRUE;TRUE;TRUE;0.05765468714483508;4.728176015198069e-6;1.1121156788599925e-125;-0.5688903060977825;No;-1.6050549967364063;21.7;female_male;gender
Bacteroides;20;FALSE;FALSE;FALSE;TRUE;0.21454621043173241;0.0030649947791119856;1.0356115826644645e-59;-1.4738725758389315;No;-1.6050549967364063;21.7;female_male;gender
Odoribacter;16;FALSE;FALSE;FALSE;FALSE;0.26019561791673207;0.0378530658995934;1.4136554874816613e-35;-0.28382735664700326;No;-1.6050549967364063;21.7;female_male;gender
Prevotella;31;TRUE;TRUE;TRUE;TRUE;0.033193766803712395;1.707325066272528e-7;2.817509810794743e-151;2.1523187726415927;No;-1.6050549967364063;21.7;female_male;gender
Alistipes;18;FALSE;FALSE;FALSE;FALSE;0.19156332871761375;0.007318432895542818;8.275550412858272e-47;-1.6050549967364063;No;-1.6050549967364063;21.7;female_male;gender
Parabacteroides;21;FALSE;FALSE;FALSE;TRUE;0.20518288214926295;0.0010569265893734;2.129591593045236e-61;-0.8691908239880431;No;-1.6050549967364063;21.7;female_male;gender
Lactobacillus;9;FALSE;FALSE;FALSE;FALSE;0.44498796981399585;0.422178436007596;2.0918143973248744e-5;0.22613515419889085;No;-1.6050549967364063;21.7;female_male;gender
Streptococcus;20;FALSE;FALSE;FALSE;TRUE;0.27612646275866803;0.009417530336092463;1.830896094454593e-35;-0.8819813961695211;No;-1.6050549967364063;21.7;female_male;gender
Clostridium;7;FALSE;FALSE;FALSE;FALSE;0.3549450729481238;0.30792328491663434;8.489671819243993e-11;0.4219079093901979;No;-1.6050549967364063;21.7;female_male;gender
Eubacterium;16;FALSE;FALSE;FALSE;FALSE;0.2889221896684433;0.06311779190030771;7.020588045193917e-26;0.7132909416163625;No;-1.6050549967364063;21.7;female_male;gender
Anaerostipes;15;FALSE;FALSE;FALSE;FALSE;0.2021714566745672;0.05387136141249588;8.903614123679469e-24;0.026145707388880546;No;-1.6050549967364063;21.7;female_male;gender
Blautia;17;FALSE;FALSE;FALSE;FALSE;0.2121156331877459;0.045648960863549845;4.2047807747081376e-26;0.1341552347328065;No;-1.6050549967364063;21.7;female_male;gender
Coprococcus;16;FALSE;FALSE;FALSE;FALSE;0.25765231094375446;0.04975346856804504;1.173341952639062e-22;0.5016954360380006;No;-1.6050549967364063;21.7;female_male;gender
Dorea;23;FALSE;FALSE;TRUE;TRUE;0.10169135857364395;8.433508186869538e-4;9.9207028717429e-64;0.9589973812570701;No;-1.6050549967364063;21.7;female_male;gender
Fusicatenibacter;17;FALSE;FALSE;FALSE;FALSE;0.22280393332583406;0.026248077679758505;2.970993817850058e-32;0.7340527346914069;No;-1.6050549967364063;21.7;female_male;gender
Lachnospiraceae_unclassified;19;FALSE;FALSE;FALSE;TRUE;0.17475354407041932;0.023517814829665765;9.187769160080947e-27;0.2750181260060737;No;-1.6050549967364063;21.7;female_male;gender
Roseburia;13;FALSE;FALSE;FALSE;FALSE;0.32597044619191184;0.10476637796324678;2.2238757735526246e-19;0.6705299079649542;No;-1.6050549967364063;21.7;female_male;gender
Oscillibacter;14;FALSE;FALSE;FALSE;FALSE;0.27818872192928246;0.09465868602786949;2.291361273407159e-17;-0.2697549345457695;No;-1.6050549967364063;21.7;female_male;gender
Agathobaculum;13;FALSE;FALSE;FALSE;FALSE;0.215899030312207;0.13155022365644967;1.696114053346216e-23;0.05041901971876743;No;-1.6050549967364063;21.7;female_male;gender
Faecalibacterium;16;FALSE;FALSE;FALSE;FALSE;0.3137034227147132;0.0642558405661988;2.0196792036029554e-21;0.7523424263920179;No;-1.6050549967364063;21.7;female_male;gender
Flavonifractor;20;FALSE;FALSE;FALSE;TRUE;0.24696794041387254;0.0034338012757814864;2.850382445433202e-44;-0.2822960036899512;No;-1.6050549967364063;21.7;female_male;gender
Gemmiger;13;FALSE;FALSE;FALSE;FALSE;0.25288432400562855;0.08939364033984638;3.9106602901950995e-20;-0.4386773015165706;No;-1.6050549967364063;21.7;female_male;gender
Ruminococcaceae_unclassified;7;FALSE;FALSE;FALSE;FALSE;0.2610130943786326;0.15614117678843276;6.199918558041398e-15;-0.35733641146448747;No;-1.6050549967364063;21.7;female_male;gender
Ruminococcus;12;FALSE;FALSE;FALSE;FALSE;0.25942430846667314;0.16265407582074506;2.33508648627478e-17;-0.3737413879436153;No;-1.6050549967364063;21.7;female_male;gender
Ruthenibacterium;20;FALSE;FALSE;FALSE;TRUE;0.22930440322234477;0.010340180444847177;8.433543168581985e-46;-0.949944663683702;No;-1.6050549967364063;21.7;female_male;gender
Holdemanella;27;FALSE;TRUE;TRUE;TRUE;0.07696197012187041;6.822610339019305e-6;3.01701187543512e-95;-0.1038931345713515;No;-1.6050549967364063;21.7;female_male;gender
Firmicutes_unclassified;12;FALSE;FALSE;FALSE;FALSE;0.2989006852404537;0.17469830339321457;3.9852198458955917e-16;0.5917419519040678;No;-1.6050549967364063;21.7;female_male;gender
Phascolarctobacterium;18;FALSE;FALSE;FALSE;FALSE;0.17274484714566654;0.02536581743291544;6.490058582160412e-24;1.405356882543466;No;-1.6050549967364063;21.7;female_male;gender
