rowname	overall.max.dist	overall.centroids.dist	overall.mahalanobis.dist	BER.max.dist	BER.centroids.dist	BER.mahalanobis.dist
comp1	0.5859778597785978	0.8040590405904059	0.8040590405904059	0.8385294117647059	0.8474052761201099	0.8474052761201099
comp2	0.581549815498155	0.7162361623616236	0.7424354243542435	0.8185702614379085	0.7710625651226675	0.7763989533011272
comp3	0.5760147601476014	0.7110701107011069	0.7361623616236163	0.810890522875817	0.747237970067254	0.7413873496258407
comp4	0.5767527675276753	0.6918819188191881	0.7328413284132841	0.7856390309747088	0.7556567917021881	0.7291653642133181
comp5	0.5726937269372693	0.6623616236162362	0.7125461254612546	0.7746978308231506	0.7047911338448423	0.67700861987307
comp6	0.5527675276752768	0.6439114391143912	0.7154981549815498	0.7379494648100786	0.6994092782040352	0.681049185374633
comp7	0.5642066420664207	0.6107011070110702	0.674538745387454	0.7403843421426541	0.6695273278393483	0.6426440987022828
comp8	0.5535055350553506	0.6236162361623616	0.6915129151291514	0.7316227384673676	0.6835678933409113	0.635928412427773
comp9	0.5586715867158671	0.6125461254612546	0.6981549815498155	0.7340769157904707	0.6752500710429099	0.632218078052477
comp10	0.5690036900369003	0.607380073800738	0.681918819188192	0.7307197830823151	0.6698487970067254	0.6283616320924506
comp11	0.5738007380073801	0.6084870848708487	0.6749077490774908	0.7367167519181586	0.6665141612200436	0.6077368096997253
comp12	0.5797047970479705	0.6195571955719558	0.6863468634686347	0.7430269015818888	0.6822808326229043	0.6196962915601023
comp13	0.5782287822878228	0.6103321033210333	0.6907749077490775	0.7352493606138107	0.6684635786681823	0.6228357961542105
comp14	0.5763837638376383	0.6077490774907749	0.6896678966789668	0.7256512266742445	0.6611868902150232	0.6188460263332386
comp15	0.577490774907749	0.6107011070110702	0.7107011070110701	0.725737899024344	0.6722367860187554	0.63487070190395
