Species	comp1	comp2	comp3
Methanobrevibacter_smithii	-0.15890468153434242	-0.05467265668564302	-0.14836823842943955
Actinomyces_odontolyticus	-0.021906625216875947	0.22879022454888903	0.1089853101049067
Actinomyces_oris	0.005158790719664558	0.13818048978289693	-0.019767010276128386
Bifidobacterium_adolescentis	0.20357962220166317	0.04167965335880512	-0.09222720972128785
Bifidobacterium_longum	0.21698552793170128	0.12354759402280821	-0.16494686620992868
Olsenella_scatoligenes	0.07996056689742645	-0.052763751809570936	-0.16521123534016316
Collinsella_aerofaciens	0.11730261718482622	-0.1847476833491499	-0.07124543696145978
Collinsella_stercoris	0.24773978629800297	-0.09007608549711002	-0.0830505089433305
Collinsella_massiliensis	0.08445013121328468	-0.011401198198639108	-0.09342894778884057
Eggerthella_lenta	-0.06558517402906114	0.18968776010053176	-0.03371977630572123
Gordonibacter_pamelaeae	-0.0627644179054836	0.23196609906247181	-0.04836355465836993
Slackia_isoflavoniconvertens	0.12266267045060182	-0.09532531803500424	0.10784365548910776
Bacteroides_ovatus	-0.21021726815982994	0.050944126172981864	0.056374453965066816
Bacteroides_thetaiotaomicron	-0.006229293947734587	0.12088193880453216	0.048771215877052215
Bacteroides_uniformis	-0.05547784477846815	0.16823673682714593	0.00754569118490082
Bacteroides_vulgatus	-0.23275138798893696	0.042784416581779	0.025517399268006714
Bacteroides_xylanisolvens	-0.12846101761278603	0.08713272863463105	0.041719405510416536
Odoribacter_splanchnicus	-0.01868287545936505	0.09488749170277726	0.10335506596615013
Prevotella_copri	0.032051886630366615	-0.05783256728984414	0.17642460630849444
Prevotella_sp_885	-0.011556550422006515	-0.08100561854126852	0.09465247860773035
Prevotella_sp_AM42_24	0.08718188200019238	-0.00695683810822015	0.21196944621343944
Prevotella_sp_CAG_1092	-0.05653402587347581	-0.10338917088360694	0.00481097608898402
Prevotella_sp_CAG_279	-0.059477889051791216	-0.06504384208175176	0.052630988114141325
Prevotella_sp_CAG_520	-0.06894731988795831	-0.0938564252283726	-0.048784260290312624
Prevotella_stercorea	0.1425990028006051	0.07977338733808609	0.10626559516663406
Alistipes_putredinis	0.03741351293630673	0.06269708410329862	-0.013107585116989853
Alistipes_shahii	-0.10211141255499413	-0.06743960947484567	-0.006471613378789188
Parabacteroides_distasonis	-0.05332515559060056	0.18182125830509654	0.0486160428193449
Parabacteroides_merdae	-0.02121641252309099	0.10803814173443613	0.07333468311488435
Streptococcus_parasanguinis	-0.11638509389794252	0.08196803983895957	-0.05393557467166471
Streptococcus_salivarius	-0.055011074491366795	0.16719232421596752	0.08656822423656912
Streptococcus_thermophilus	-0.14269962580330886	-0.03530737062579548	-0.00583022424982433
Lawsonibacter_asaccharolyticus	0.05250755634886285	0.06431318754093292	-0.09503308935212111
Eubacterium_eligens	0.21435182126451682	-0.0024946323280772044	0.00135112894048366
Eubacterium_hallii	0.11277818427994896	-0.08036786424741371	0.03414126189104957
Eubacterium_ramulus	4.254410812550437e-4	0.04367532544437632	0.20749921425449613
Eubacterium_sp_CAG_180	0.17485873115716805	0.0035090511537627495	0.16756889628063562
Anaerostipes_hadrus	-0.14342347878656508	-0.029530227678925765	-0.08839281019002633
Blautia_obeum	-0.003892382134773553	-0.08990215392398708	-0.07328874466936125
Blautia_wexlerae	-0.11165071780260902	0.05100515009988911	0.0021585794466916983
Ruminococcus_torques	-0.17586061577937082	-0.11366782699750855	0.322017599290841
Coprococcus_catus	0.11071235761467943	-0.09639736426064827	0.10639632122646173
Coprococcus_comes	0.05133684246275752	-0.10361616812827876	0.08539536030197281
Dorea_formicigenerans	0.02158116142899781	-0.18537220951652153	0.21393605625438342
Dorea_longicatena	-0.2333694270127807	-0.4295499617661154	-0.11284808305629321
Fusicatenibacter_saccharivorans	0.11593045735815424	0.043050571241949734	0.0670073681775774
Eubacterium_rectale	0.06726293301063471	-0.11767631275391432	-0.07696117580298974
Lachnospira_pectinoschiza	0.23187396112499964	0.01990868292605342	0.03100625981345552
Roseburia_faecis	0.2352689705877706	0.024697456683222242	-0.004562489103907445
Roseburia_hominis	-0.0012458851960666841	-0.13957765236714986	-0.10161002678798532
Roseburia_intestinalis	-0.003533251506185152	-0.1030394253646294	-0.13299253519922632
Roseburia_inulinivorans	0.005708547397388004	-0.07260205759623474	0.037947194143454994
Roseburia_sp_CAG_471	0.032242277114747496	0.005273663839434398	0.29965077554768765
Oscillibacter_sp_57_20	0.16391709481320757	-0.03888533288706085	0.19814371241047243
Oscillibacter_sp_CAG_241	0.08288513346547634	-0.06330617399906108	-0.10700773452852237
Intestinibacter_bartlettii	0.04596753523041591	0.003021624773115084	-0.09936087044002855
Agathobaculum_butyriciproducens	0.04292516098733764	-0.10581674798627058	0.09928104728682696
Faecalibacterium_prausnitzii	0.05785630062042523	-0.20336863204949227	-0.008982331032380064
Flavonifractor_plautii	-0.169201804726887	0.11860227911858297	-3.5442846026994385e-4
Gemmiger_formicilis	-0.11980743698790265	-0.012724379423657126	-0.0957155256177364
Clostridium_leptum	-0.11773443048865061	-0.021027920828224828	-0.20592493465230974
Eubacterium_siraeum	0.03876421216867489	-0.027118678825432313	-0.0020466717316983134
Ruminococcus_bicirculans	0.07286008261442423	-0.08794811517279336	-0.24047550479194274
Ruminococcus_bromii	0.15567357214585878	0.03338363929087739	-0.056785153187293595
Ruthenibacterium_lactatiformans	-0.11194861672834233	0.10361698413758445	0.030817974661120708
Catenibacterium_mitsuokai	0.047946192766136826	-0.12013894231496246	0.20105055136287178
Clostridium_innocuum	-0.0036942007748794626	0.18035484108914393	0.03296017097310851
Holdemanella_biformis	-0.05101112795791583	-0.1775759850297855	0.19100008334025975
Firmicutes_bacterium_CAG_83	-0.08067214892852405	-0.21069190882028815	-0.09116469204602126
Phascolarctobacterium_succinatutens	-0.13646004530731023	-0.1583608582288214	0.22517764254983166
Bilophila_wadsworthia	-0.17670169657988602	-0.006941913533814442	0.02192279155936186
Escherichia_coli	-0.07811300277346322	0.04821158606315583	-0.02807663645313887
